	peptide count	description
P49917	4	DNA ligase 4 OS=Homo sapiens GN=LIG4
Q9ULH4	4	Leucine-rich repeat and fibronectin type-III domain-containing protein 2 OS=Homo sapiens GN=LRFN2
Q5KU26	9	Collectin-12 OS=Homo sapiens GN=COLEC12
P17661	13	Desmin OS=Homo sapiens GN=DES
Q9UMZ3	23	Phosphotidylinositol phosphatase PTPRQ OS=Homo sapiens GN=PTPRQ
Q0VDG4-1	15	Isoform 1 of Secernin-3 OS=Homo sapiens GN=SCRN3
Q5JQC9-2	17	Isoform 2 of A-kinase anchor protein 4 OS=Homo sapiens GN=AKAP4
P61550	3	HERV-T_19q13.11 provirus ancestral Env polyprotein OS=Homo sapiens
Q86TE4-1	12	Isoform 1 of Leucine zipper protein 2 OS=Homo sapiens GN=LUZP2
Q9Y4X1-1	3	Isoform 1 of UDP-glucuronosyltransferase 2A1 OS=Homo sapiens GN=UGT2A1
Q9UMY4-2	4	Isoform 2 of Sorting nexin-12 OS=Homo sapiens GN=SNX12
Q12797-7	3	Isoform 7 of Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH
Q96ID5	6	Immunoglobulin superfamily member 21 OS=Homo sapiens GN=IGSF21
Q13740-2	21	Isoform 2 of CD166 antigen OS=Homo sapiens GN=ALCAM
Q96FQ6	6	Protein S100-A16 OS=Homo sapiens GN=S100A16
Q0P6D6	4	Coiled-coil domain-containing protein 15 OS=Homo sapiens GN=CCDC15
Q8NEV8-1	41	Isoform 1 of Exophilin-5 OS=Homo sapiens GN=EXPH5
P13473-3	8	Isoform LAMP-2C of Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens GN=LAMP2
P05120	7	Plasminogen activator inhibitor 2 OS=Homo sapiens GN=SERPINB2
P08603-1	20	Isoform 1 of Complement factor H OS=Homo sapiens GN=CFH
P35908	14	Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2
Q9UKQ2-1	14	Isoform 1 of Disintegrin and metalloproteinase domain-containing protein 28 OS=Homo sapiens GN=ADAM28
P30464	5	HLA class I histocompatibility antigen, B-15 alpha chain OS=Homo sapiens GN=HLA-B
Q96SZ4-1	4	Isoform 1 of Zinc finger and SCAN domain-containing protein 10 OS=Homo sapiens GN=ZSCAN10
Q8N3C0-1	12	Isoform 1 of Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3
P55058-1	5	Isoform 1 of Phospholipid transfer protein OS=Homo sapiens GN=PLTP
Q9UMD9-1	12	Isoform 1 of Collagen alpha-1(XVII) chain OS=Homo sapiens GN=COL17A1
O15438-4	9	Isoform 4 of Canalicular multispecific organic anion transporter 2 OS=Homo sapiens GN=ABCC3
Q9H1U4	4	Multiple epidermal growth factor-like domains protein 9 OS=Homo sapiens GN=MEGF9
P23443-1	8	Isoform Alpha I of Ribosomal protein S6 kinase beta-1 OS=Homo sapiens GN=RPS6KB1
Q8NA19-1	11	Isoform 1 of Lethal(3)malignant brain tumor-like protein 4 OS=Homo sapiens GN=L3MBTL4
Q30201-3	2	Isoform 3 of Hereditary hemochromatosis protein OS=Homo sapiens GN=HFE
O75379-1	3	Isoform 1 of Vesicle-associated membrane protein 4 OS=Homo sapiens GN=VAMP4
Q14956-1	9	Isoform 1 of Transmembrane glycoprotein NMB OS=Homo sapiens GN=GPNMB
P05538	5	HLA class II histocompatibility antigen, DQ beta 2 chain OS=Homo sapiens GN=HLA-DQB2
Q6PIS1-5	2	Isoform 3 of Solute carrier family 23 member 3 OS=Homo sapiens GN=SLC23A3
P11717	16	Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R
Q9UKM7	3	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Homo sapiens GN=MAN1B1
Q9H3U1-2	10	Isoform 2 of Protein unc-45 homolog A OS=Homo sapiens GN=UNC45A
Q9UNA4	9	DNA polymerase iota OS=Homo sapiens GN=POLI
Q8WWI1-4	18	Isoform 4 of LIM domain only protein 7 OS=Homo sapiens GN=LMO7
Q4AC99	3	1-aminocyclopropane-1-carboxylate synthase-like protein 2 OS=Homo sapiens GN=ACCSL
P42702-1	17	Isoform 1 of Leukemia inhibitory factor receptor OS=Homo sapiens GN=LIFR
Q9BVK6	5	Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9
Q6ZMP0-1	9	Isoform 1 of Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens GN=THSD4
O43490-1	16	Isoform 1 of Prominin-1 OS=Homo sapiens GN=PROM1
P36956-1	5	Isoform SREBP-1A of Sterol regulatory element-binding protein 1 OS=Homo sapiens GN=SREBF1
P04440	2	HLA class II histocompatibility antigen, DP beta 1 chain OS=Homo sapiens GN=HLA-DPB1
Q9H3F6-2	4	Isoform 2 of BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 OS=Homo sapiens GN=KCTD10
P01833	10	Polymeric immunoglobulin receptor OS=Homo sapiens GN=PIGR
Q8NDH2	55	Coiled-coil domain-containing protein 168 OS=Homo sapiens GN=CCDC168
Q7KZ85-1	8	Isoform 1 of Transcription elongation factor SPT6 OS=Homo sapiens GN=SUPT6H
P54709	3	Sodium/potassium-transporting ATPase subunit beta-3 OS=Homo sapiens GN=ATP1B3
Q8IVV2-1	37	Isoform 1 of Lipoxygenase homology domain-containing protein 1 OS=Homo sapiens GN=LOXHD1
Q9Y5G8-1	12	Isoform 1 of Protocadherin gamma-A5 OS=Homo sapiens GN=PCDHGA5
Q8IVF4-1	80	Isoform 1 of Dynein heavy chain 10, axonemal OS=Homo sapiens GN=DNAH10
P16109	11	P-selectin OS=Homo sapiens GN=SELP
Q9HC84	15	Mucin-5B OS=Homo sapiens GN=MUC5B
Q29983-1	9	Isoform 1 of MHC class I polypeptide-related sequence A OS=Homo sapiens GN=MICA
Q9H3F6-1	3	Isoform 1 of BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 OS=Homo sapiens GN=KCTD10
O75469-3	2	Isoform 1C of Nuclear receptor subfamily 1 group I member 2 OS=Homo sapiens GN=NR1I2
P25311	6	Zinc-alpha-2-glycoprotein OS=Homo sapiens GN=AZGP1
Q9GZM5	2	Protein YIPF3 OS=Homo sapiens GN=YIPF3
O00469-2	17	Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens GN=PLOD2
Q7Z7H5-1	2	Isoform 1 of Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens GN=TMED4
Q9H4G0-4	10	Isoform 4 of Band 4.1-like protein 1 OS=Homo sapiens GN=EPB41L1
Q8N655	17	Uncharacterized protein C10orf12 OS=Homo sapiens GN=C10orf12
P10909-4	19	Isoform 4 of Clusterin OS=Homo sapiens GN=CLU
Q9NXE4-4	4	Isoform 4 of Sphingomyelin phosphodiesterase 4 OS=Homo sapiens GN=SMPD4
P06127	5	T-cell surface glycoprotein CD5 OS=Homo sapiens GN=CD5
P01889	5	HLA class I histocompatibility antigen, B-7 alpha chain OS=Homo sapiens GN=HLA-B
P05090	14	Apolipoprotein D OS=Homo sapiens GN=APOD
Q15311	3	RalA-binding protein 1 OS=Homo sapiens GN=RALBP1
Q13510-2	8	Isoform 2 of Acid ceramidase OS=Homo sapiens GN=ASAH1
P17927	13	Complement receptor type 1 OS=Homo sapiens GN=CR1
Q8WWI1-1	19	Isoform 1 of LIM domain only protein 7 OS=Homo sapiens GN=LMO7
O15230	18	Laminin subunit alpha-5 OS=Homo sapiens GN=LAMA5
Q5JSJ4-1	22	Isoform 1 of Protein DDX26B OS=Homo sapiens GN=DDX26B
Q9P2R6-1	9	Isoform 1 of Arginine-glutamic acid dipeptide repeats protein OS=Homo sapiens GN=RERE
P51858	6	Hepatoma-derived growth factor OS=Homo sapiens GN=HDGF
Q4AC94-3	15	Isoform 3 of C2 domain-containing protein 3 OS=Homo sapiens GN=C2CD3
Q8IYW2-1	22	Isoform 1 of Tetratricopeptide repeat protein 40 OS=Homo sapiens GN=TTC40
Q8NBK3-1	6	Isoform 1 of Sulfatase-modifying factor 1 OS=Homo sapiens GN=SUMF1
Q07866-4	26	Isoform J of Kinesin light chain 1 OS=Homo sapiens GN=KLC1
Q9P2E3-1	24	Isoform 1 of NFX1-type zinc finger-containing protein 1 OS=Homo sapiens GN=ZNFX1
Q9C093-4	10	Isoform 4 of Sperm flagellar protein 2 OS=Homo sapiens GN=SPEF2
Q9BV73-2	20	Isoform 2 of Centrosome-associated protein CEP250 OS=Homo sapiens GN=CEP250
P51784	10	Ubiquitin carboxyl-terminal hydrolase 11 OS=Homo sapiens GN=USP11
Q8NGE1	1	Olfactory receptor 6C4 OS=Homo sapiens GN=OR6C4
P11362-1	12	Isoform 1 of Fibroblast growth factor receptor 1 OS=Homo sapiens GN=FGFR1
Q16769-1	1	Isoform 1 of Glutaminyl-peptide cyclotransferase OS=Homo sapiens GN=QPCT
Q9UGM3-4	7	Isoform 4 of Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1
Q7RTS7	16	Keratin, type II cytoskeletal 74 OS=Homo sapiens GN=KRT74
Q86UQ0-3	6	Isoform 3 of Zinc finger protein 589 OS=Homo sapiens GN=ZNF589
Q9BZW7	26	Testis-specific gene 10 protein OS=Homo sapiens GN=TSGA10
Q9Y4I1-2	44	Isoform 2 of Unconventional myosin-Va OS=Homo sapiens GN=MYO5A
P04278-1	1	Isoform 1 of Sex hormone-binding globulin OS=Homo sapiens GN=SHBG
Q9Y5G7-1	13	Isoform 1 of Protocadherin gamma-A6 OS=Homo sapiens GN=PCDHGA6
P36941	3	Tumor necrosis factor receptor superfamily member 3 OS=Homo sapiens GN=LTBR
P23142-3	6	Isoform B of Fibulin-1 OS=Homo sapiens GN=FBLN1
P23497-1	19	Isoform Sp100-HMG of Nuclear autoantigen Sp-100 OS=Homo sapiens GN=SP100
Q13421-1	3	Isoform 1 of Mesothelin OS=Homo sapiens GN=MSLN
Q93009-1	19	Isoform 1 of Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens GN=USP7
Q9Y5L0-3	7	Isoform 3 of Transportin-3 OS=Homo sapiens GN=TNPO3
P22307-1	9	Isoform SCPx of Non-specific lipid-transfer protein OS=Homo sapiens GN=SCP2
Q92932-3	9	Isoform 3 of Receptor-type tyrosine-protein phosphatase N2 OS=Homo sapiens GN=PTPRN2
P23381-1	6	Isoform 1 of Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS
P30042-1	7	Isoform Long of ES1 protein homolog, mitochondrial OS=Homo sapiens GN=C21orf33
P10619	5	Lysosomal protective protein OS=Homo sapiens GN=CTSA
P36915-1	7	Isoform 1 of Guanine nucleotide-binding protein-like 1 OS=Homo sapiens GN=GNL1
Q8TDI8	11	Transmembrane channel-like protein 1 OS=Homo sapiens GN=TMC1
P52738	6	Zinc finger protein 140 OS=Homo sapiens GN=ZNF140
Q5VT97-1	14	Isoform 1 of Rho GTPase-activating protein SYDE2 OS=Homo sapiens GN=SYDE2
P04156-1	4	Isoform 1 of Major prion protein OS=Homo sapiens GN=PRNP
Q96RW7-1	60	Isoform 1 of Hemicentin-1 OS=Homo sapiens GN=HMCN1
P06748-1	4	Isoform 1 of Nucleophosmin OS=Homo sapiens GN=NPM1
Q9H3G5	3	Probable serine carboxypeptidase CPVL OS=Homo sapiens GN=CPVL
Q9Y4X1-2	3	Isoform 2 of UDP-glucuronosyltransferase 2A1 OS=Homo sapiens GN=UGT2A1
P41219-2	10	Isoform 2 of Peripherin OS=Homo sapiens GN=PRPH
P69905	7	Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1
O15204-1	6	Isoform 1 of ADAM DEC1 OS=Homo sapiens GN=ADAMDEC1
Q8NI08-1	12	Isoform 1 of Nuclear receptor coactivator 7 OS=Homo sapiens GN=NCOA7
Q9HAV7	6	GrpE protein homolog 1, mitochondrial OS=Homo sapiens GN=GRPEL1
Q7Z4N2-3	22	Isoform 3 of Transient receptor potential cation channel subfamily M member 1 OS=Homo sapiens GN=TRPM1
Q14CN2	13	Calcium-activated chloride channel regulator 4 OS=Homo sapiens GN=CLCA4
Q15911-1	40	Isoform A of Zinc finger homeobox protein 3 OS=Homo sapiens GN=ZFHX3
P07339	5	Cathepsin D OS=Homo sapiens GN=CTSD
O43451	22	Maltase-glucoamylase, intestinal OS=Homo sapiens GN=MGAM
Q86XT4-1	2	Isoform Alpha of E3 ubiquitin-protein ligase TRIM50 OS=Homo sapiens GN=TRIM50
P80188-1	6	Isoform 1 of Neutrophil gelatinase-associated lipocalin OS=Homo sapiens GN=LCN2
P32247	2	Bombesin receptor subtype-3 OS=Homo sapiens GN=BRS3
Q9Y5G0-1	10	Isoform 1 of Protocadherin gamma-B5 OS=Homo sapiens GN=PCDHGB5
Q2M2E5	5	Uncharacterized protein C5orf64 OS=Homo sapiens GN=C5orf64
P16189	3	HLA class I histocompatibility antigen, A-31 alpha chain OS=Homo sapiens GN=HLA-A
P27701	3	CD82 antigen OS=Homo sapiens GN=CD82
P09493-6	5	Isoform 6 of Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1
O95206-1	6	Isoform 1 of Protocadherin-8 OS=Homo sapiens GN=PCDH8
P05556-5	26	Isoform Beta-1D of Integrin beta-1 OS=Homo sapiens GN=ITGB1
O75916-2	14	Isoform 2 of Regulator of G-protein signaling 9 OS=Homo sapiens GN=RGS9
P34810-1	1	Isoform Long of Macrosialin OS=Homo sapiens GN=CD68
P15056	7	Serine/threonine-protein kinase B-raf OS=Homo sapiens GN=BRAF
P11362-21	11	Isoform 21 of Fibroblast growth factor receptor 1 OS=Homo sapiens GN=FGFR1
Q9NY47-4	12	Isoform 4 of Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens GN=CACNA2D2
P02792	6	Ferritin light chain OS=Homo sapiens GN=FTL
Q9H0X4-2	6	Isoform 2 of Protein ITFG3 OS=Homo sapiens GN=ITFG3
Q7Z7A1-1	39	Isoform 1 of Centriolin OS=Homo sapiens GN=CNTRL
Q9Y5G9-1	11	Isoform 1 of Protocadherin gamma-A4 OS=Homo sapiens GN=PCDHGA4
P02675	5	Fibrinogen beta chain OS=Homo sapiens GN=FGB
P80723-1	4	Isoform 1 of Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1
P06276	12	Cholinesterase OS=Homo sapiens GN=BCHE
P10915	4	Hyaluronan and proteoglycan link protein 1 OS=Homo sapiens GN=HAPLN1
A4D0S4-3	20	Isoform 3 of Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4
A4D0S4-1	20	Isoform 1 of Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4
P12110-1	23	Isoform 2C2 of Collagen alpha-2(VI) chain OS=Homo sapiens GN=COL6A2
P19012	9	Keratin, type I cytoskeletal 15 OS=Homo sapiens GN=KRT15
P30041	1	Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6
P01009-1	9	Isoform 1 of Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1
P06731	10	Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Homo sapiens GN=CEACAM5
P40189-1	10	Isoform 1 of Interleukin-6 receptor subunit beta OS=Homo sapiens GN=IL6ST
P98179	3	Putative RNA-binding protein 3 OS=Homo sapiens GN=RBM3
P52744	5	Zinc finger protein 138 OS=Homo sapiens GN=ZNF138
O75151	10	Lysine-specific demethylase PHF2 OS=Homo sapiens GN=PHF2
P02765	4	Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG
Q8WXX7-1	11	Isoform Long of Autism susceptibility gene 2 protein OS=Homo sapiens GN=AUTS2
P0C7V0	3	Putative uncharacterized protein encoded by LINC00271 OS=Homo sapiens GN=LINC00271
Q92876-1	2	Isoform 1 of Kallikrein-6 OS=Homo sapiens GN=KLK6
Q9Y5B9	33	FACT complex subunit SPT16 OS=Homo sapiens GN=SUPT16H
Q96A84-1	6	Isoform 1 of EMI domain-containing protein 1 OS=Homo sapiens GN=EMID1
Q02817	15	Mucin-2 OS=Homo sapiens GN=MUC2
Q96RT6-1	14	Isoform 2 of Protein cTAGE-2 OS=Homo sapiens GN=CTAGE1
P00450	9	Ceruloplasmin OS=Homo sapiens GN=CP
Q9Y639-5	15	Isoform 5 of Neuroplastin OS=Homo sapiens GN=NPTN
Q14241	15	Transcription elongation factor B polypeptide 3 OS=Homo sapiens GN=TCEB3
P15144	16	Aminopeptidase N OS=Homo sapiens GN=ANPEP
Q13625-1	26	Isoform 1 of Apoptosis-stimulating of p53 protein 2 OS=Homo sapiens GN=TP53BP2
Q69YH5-1	20	Isoform 1 of Cell division cycle-associated protein 2 OS=Homo sapiens GN=CDCA2
Q9GZU1	2	Mucolipin-1 OS=Homo sapiens GN=MCOLN1
Q8TD06	4	Anterior gradient protein 3 homolog OS=Homo sapiens GN=AGR3
Q4KMG0-1	7	Isoform 1 of Cell adhesion molecule-related/down-regulated by oncogenes OS=Homo sapiens GN=CDON
Q8TEW8-1	15	Isoform 1 of Partitioning defective 3 homolog B OS=Homo sapiens GN=PARD3B
Q08722-3	5	Isoform OA3-305 of Leukocyte surface antigen CD47 OS=Homo sapiens GN=CD47
Q9BZR6	3	Reticulon-4 receptor OS=Homo sapiens GN=RTN4R
Q6P4E1-2	15	Isoform 2 of Protein CASC4 OS=Homo sapiens GN=CASC4
Q15223-1	4	Isoform Delta of Poliovirus receptor-related protein 1 OS=Homo sapiens GN=PVRL1
O43520	19	Probable phospholipid-transporting ATPase IC OS=Homo sapiens GN=ATP8B1
P09936	2	Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens GN=UCHL1
P16949-1	9	Isoform 1 of Stathmin OS=Homo sapiens GN=STMN1
Q8TEW0-1	31	Isoform 1 of Partitioning defective 3 homolog OS=Homo sapiens GN=PARD3
P30501	3	HLA class I histocompatibility antigen, Cw-2 alpha chain OS=Homo sapiens GN=HLA-C
Q8IZT6-1	64	Isoform 1 of Abnormal spindle-like microcephaly-associated protein OS=Homo sapiens GN=ASPM
Q9H5V8-1	10	Isoform 1 of CUB domain-containing protein 1 OS=Homo sapiens GN=CDCP1
P04180	1	Phosphatidylcholine-sterol acyltransferase OS=Homo sapiens GN=LCAT
Q8N3T6	11	Transmembrane protein 132C OS=Homo sapiens GN=TMEM132C
Q13449	8	Limbic system-associated membrane protein OS=Homo sapiens GN=LSAMP
P06753-1	5	Isoform 1 of Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3
Q14765	13	Signal transducer and activator of transcription 4 OS=Homo sapiens GN=STAT4
Q92616	15	Translational activator GCN1 OS=Homo sapiens GN=GCN1L1
Q96DR8	2	Mucin-like protein 1 OS=Homo sapiens GN=MUCL1
P01215	3	Glycoprotein hormones alpha chain OS=Homo sapiens GN=CGA
Q04917	4	14-3-3 protein eta OS=Homo sapiens GN=YWHAH
Q95604	3	HLA class I histocompatibility antigen, Cw-17 alpha chain OS=Homo sapiens GN=HLA-C
Q86WG5-1	13	Isoform 1 of Myotubularin-related protein 13 OS=Homo sapiens GN=SBF2
O14672	13	Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens GN=ADAM10
Q9Y680-1	8	Isoform 1 of Peptidyl-prolyl cis-trans isomerase FKBP7 OS=Homo sapiens GN=FKBP7
P61366	1	Osteocrin OS=Homo sapiens GN=OSTN
Q9HCN3	4	Transmembrane protein 8A OS=Homo sapiens GN=TMEM8A
Q86VF7-1	40	Isoform 1 of Nebulin-related-anchoring protein OS=Homo sapiens GN=NRAP
Q9NRR5-1	7	Isoform 1 of Ubiquilin-4 OS=Homo sapiens GN=UBQLN4
Q9Y5X4-1	4	Isoform Long of Photoreceptor-specific nuclear receptor OS=Homo sapiens GN=NR2E3
P24394-1	6	Isoform 1 of Interleukin-4 receptor subunit alpha OS=Homo sapiens GN=IL4R
Q9UHG3	7	Prenylcysteine oxidase 1 OS=Homo sapiens GN=PCYOX1
P49908	5	Selenoprotein P OS=Homo sapiens GN=SEPP1
P30466	4	HLA class I histocompatibility antigen, B-18 alpha chain OS=Homo sapiens GN=HLA-B
C9JCN9	3	Heat shock factor-binding protein 1-like protein 1 OS=Homo sapiens GN=HSBP1L1
P13761	2	HLA class II histocompatibility antigen, DRB1-7 beta chain OS=Homo sapiens GN=HLA-DRB1
P05023-1	9	Isoform 1 of Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1
Q8TEW0-2	31	Isoform 2 of Partitioning defective 3 homolog OS=Homo sapiens GN=PARD3
Q08174-2	5	Isoform 2 of Protocadherin-1 OS=Homo sapiens GN=PCDH1
Q3T906-1	24	Isoform 1 of N-acetylglucosamine-1-phosphotransferase subunits alpha/beta OS=Homo sapiens GN=GNPTAB
P04264	19	Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1
P20036	1	HLA class II histocompatibility antigen, DP alpha 1 chain OS=Homo sapiens GN=HLA-DPA1
Q8TEW0-10	27	Isoform 10 of Partitioning defective 3 homolog OS=Homo sapiens GN=PARD3
Q9BX84-1	16	Isoform TRPM6a of Transient receptor potential cation channel subfamily M member 6 OS=Homo sapiens GN=TRPM6
Q86VF7-4	39	Isoform 4 of Nebulin-related-anchoring protein OS=Homo sapiens GN=NRAP
P10909-2	18	Isoform 2 of Clusterin OS=Homo sapiens GN=CLU
Q9NVR2	14	Integrator complex subunit 10 OS=Homo sapiens GN=INTS10
P05106-3	11	Isoform Beta-3C of Integrin beta-3 OS=Homo sapiens GN=ITGB3
Q99714-1	5	Isoform 1 of 3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10
Q96RK0	15	Protein capicua homolog OS=Homo sapiens GN=CIC
Q96QD8-1	2	Isoform 1 of Sodium-coupled neutral amino acid transporter 2 OS=Homo sapiens GN=SLC38A2
Q12882	11	Dihydropyrimidine dehydrogenase [NADP(+)] OS=Homo sapiens GN=DPYD
P19438-1	2	Isoform 1 of Tumor necrosis factor receptor superfamily member 1A OS=Homo sapiens GN=TNFRSF1A
Q3ZCQ3	1	Membrane protein FAM174B OS=Homo sapiens GN=FAM174B
P30508	3	HLA class I histocompatibility antigen, Cw-12 alpha chain OS=Homo sapiens GN=HLA-C
Q9NX40-1	3	Isoform 1 of OCIA domain-containing protein 1 OS=Homo sapiens GN=OCIAD1
P26927	6	Hepatocyte growth factor-like protein OS=Homo sapiens GN=MST1
P07951-1	4	Isoform 1 of Tropomyosin beta chain OS=Homo sapiens GN=TPM2
Q9Y6A5	9	Transforming acidic coiled-coil-containing protein 3 OS=Homo sapiens GN=TACC3
Q92896-3	21	Isoform 3 of Golgi apparatus protein 1 OS=Homo sapiens GN=GLG1
P05026-1	8	Isoform 1 of Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens GN=ATP1B1
Q29940	6	HLA class I histocompatibility antigen, B-59 alpha chain OS=Homo sapiens GN=HLA-B
P04155	1	Trefoil factor 1 OS=Homo sapiens GN=TFF1
O95714	34	E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens GN=HERC2
P14649	5	Myosin light chain 6B OS=Homo sapiens GN=MYL6B
P22626-1	4	Isoform B1 of Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1
Q16543	6	Hsp90 co-chaperone Cdc37 OS=Homo sapiens GN=CDC37
Q92736-2	42	Isoform 2 of Ryanodine receptor 2 OS=Homo sapiens GN=RYR2
Q8N3C0-3	4	Isoform 2 of Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3
P25398	1	40S ribosomal protein S12 OS=Homo sapiens GN=RPS12
